iteration,crudeOil,HVC,CHP,LTH,MTH,HTH,DH,SpaceHeating,rawBiogas,syngas,coal
56,-180.0642242,-561.3082039,-0.287865747,-0.069727026,-0.001111203,-0.111847603,-0.03072927,-0.00033944,-0.133947357,-225.7368488,-0.023792409
57,-158.8462034,-393.3934802,-0.290516337,-0.072083272,-0.001355009,-0.106738974,-0.032340564,-0.000554988,-0.147672376,-145.6137885,-0.029010688
58,-179.3450447,-360.2147211,-0.275998678,-0.070573341,-0.000976691,-0.105240872,-0.030971365,-0.000362269,-0.120312549,-173.6478844,-0.02946431
59,-184.6278275,-409.9521071,-0.33980764,-0.081593004,-0.001313747,-0.127848651,-0.03495563,-0.000590647,-0.160539519,-187.2109637,-0.032995113
60,-381.6614916,-526.8188971,-0.325091955,-0.085703078,-0.001353335,-0.140693078,-0.037728409,-0.000579065,-0.163740742,-1.774232537,-0.039647045
61,-214.8763088,-451.7127815,-0.353622792,-0.082171767,-0.001454962,-0.130901269,-0.036260657,-0.0006658,-0.16684447,-205.1540145,-0.040090449
62,-172.2324944,-363.1102527,-0.258349321,-0.065720724,-0.00112344,-0.135166263,-0.026143262,-0.000396515,-0.170811646,-160.6325873,-0.022939938
63,-202.5715989,-499.1057077,-0.326543334,-0.081984871,-0.001355454,-0.124396038,-0.036574219,-0.000472341,-0.174403972,-141.719304,-0.033093035
64,-347.0776576,-335.0775264,-0.240989242,-0.061623463,-0.001856075,-0.106203978,-0.02589554,-0.000403796,-0.124847377,-46.31291967,-0.020181362
65,-186.4162105,-477.2911817,-0.254404948,-0.061621045,-0.001035262,-0.09771225,-0.027079016,-0.000366535,-0.11754803,-140.4557247,-0.019938224
66,-167.1967191,-572.8319156,-0.290207718,-0.068286167,-0.001119771,-0.122628378,-0.029215852,-0.000534412,-0.149519178,-177.3122354,-0.0274233
67,-308.7275364,-442.1177936,-0.259219911,-0.062479406,-0.001008271,-0.101070031,-0.025500328,-0.000427576,-0.125316509,-0.310238279,-0.018233788
68,-141.5043446,-536.6206297,-0.387041744,-0.096862112,-0.001522865,-0.154035177,-0.040917421,-0.000489019,-0.192058367,-198.1274281,-0.026759523
69,-330.4611343,-415.1844115,-0.361057351,-0.087343128,-0.001824955,-0.133260859,-0.04007309,-0.000711878,-0.169335286,-1.515230037,-0.038354337
70,-331.3761033,-593.28771,-0.3918483,-0.099376748,-0.001495367,-0.170299583,-0.041323468,-0.000530261,-0.21082153,-0.483313506,-0.032230663
71,-353.0092774,-522.6949021,-0.228182178,-0.054763255,-0.004727716,-0.090864792,-0.023285969,-0.000317072,-0.117444109,-0.415703908,-0.020199165
72,-149.5604266,-411.7292285,-0.392561719,-0.091543392,-0.001558928,-0.152696089,-0.038764275,-0.000668332,-0.196591756,-147.448992,-0.041997094
73,-195.6922686,-414.0195778,-0.257795901,-0.064851514,-0.001152077,-0.112184939,-0.028114085,-0.000560573,-0.134645595,-137.0750188,-0.028095034
74,-221.7183292,-445.4277875,-0.222352841,-0.054167028,-0.000948021,-0.096717358,-0.022531057,-0.000398847,-0.117949021,-134.3816312,-0.018885301
75,-160.9154184,-367.655211,-0.300419544,-0.079259604,-0.001321461,-0.127182117,-0.034133468,-0.000397952,-0.149373338,-180.8365061,-0.031565647
76,-402.9302804,-456.753605,-0.313588624,-0.067963864,-0.001297065,-0.119624558,-0.029426624,-0.000449876,-0.171819376,-0.398222255,-0.024599979
77,-289.5315225,-548.3407176,-0.380788133,-0.091105566,-0.001566273,-0.160030303,-0.037789794,-0.000611313,-0.194573335,-0.292229541,-0.032613522
78,-351.422269,-566.8308341,-0.18953468,-0.047997097,-0.000661133,-0.098992026,-0.018855066,-0.00022349,-0.110405765,-0.33031413,-0.014343612
79,-324.0886776,-382.6525502,-0.218878168,-0.054746399,-0.000981873,-0.111598334,-0.022706602,-0.000405351,-0.137876228,-0.425883764,-0.018242062
80,-141.6137924,-485.2395685,-0.37981388,-0.101998474,-0.001549023,-0.168777981,-0.044224475,-0.000569403,-0.202711785,-145.5217053,-0.044721253
81,-315.0903105,-408.2297591,-0.311016169,-0.078809678,-0.001385723,-0.128936627,-0.032746192,-0.000667154,-0.147941339,-0.268307333,-0.029828134
82,-321.6258159,-596.1885892,-0.325573432,-0.074817303,-0.001166211,-0.126176286,-0.031113082,-0.000466969,-0.166352622,-0.319693228,-0.023106843
83,-399.2685235,-588.5251599,-0.294233666,-0.068716012,-0.001052827,-0.144369907,-0.028638568,-0.000488328,-0.214167652,-0.303175953,-0.0234256
84,-146.4198325,-618.9483352,-0.280973858,-0.06990448,-0.00114524,-0.11908363,-0.030543574,-0.000369182,-0.143494458,-147.3408727,-0.022990325
85,-406.1863869,-445.6797577,-0.317011263,-0.0775429,-0.001441545,-0.127349101,-0.035451941,-0.000556855,-0.164398571,-0.739785038,-0.038514976
86,-173.697373,-365.5437076,-0.322158315,-0.077254021,-0.001447178,-0.138398448,-0.031861677,-0.000582455,-0.193153518,-165.5855395,-0.028496184
87,-375.6249063,-403.0412955,-0.217355,-0.053363406,-0.000871545,-0.082423091,-0.023506449,-0.000321705,-0.105810888,-0.367207203,-0.020871135
